CALL_ID,DATE_TIME,TOPICID,SIG_GRADE,CNV_GRADE,APIN,ASX.DL,APHNUM,APHSET,APHTYP,BPIN,BSX.DL,BPHNUM,BPHSET,BPHTYP
00001,20021205_14:30:59,ENG34,2,2,2602,m.a,301471cqg,,1,1790,f.a,212897ebt,,3
00002,20021205_16:42:01,ENG34,4,4,2152,f.a,412654ucr,,1,9998,m.a,267295jdt,,
00003,20021205_17:14:37,ENG34,4,4,5897,f.a,412648ygc,,2,9997,m.a,925377gle,,1
00004,20021205_17:15:13,ENG34,4,2,4775,f.a,610286inx,,3,4612,f.a,714593eoj,,3
00005,20021205_20:16:07,ENG34,4,4,5334,m.a,215483niy,,3,2066,f.o,917541vcu,,1
00006,20021205_21:15:19,ENG34,4,4,1172,f.a,215417rlj,,2,7276,m.a,816806odh,,1
00007,20021205_21:17:09,ENG34,3,4,9154,f.a,814241fqr,,1,5489,m.a,215662hec,,3
00008,20021205_22:15:24,ENG34,4,4,6969,f.a,301699vhe,,3,1019,f.a,928226rcu,,3
00009,20021205_22:19:41,ENG34,4,4,9159,m.o,401383fbn,,3,9999,m.a,215472bgr,,
00010,20021205_23:17:15,ENG34,4,4,2233,f.a,928226prg,,3,7278,f.a,928556kgv,,3
00011,20021205_23:18:12,ENG34,4,4,3409,f.a,215564drf,,2,8527,f.a,585682ibc,,2
00012,20021206_14:11:32,ENG35,4,2,1790,f.a,212897ebt,,3,4115,m.a,434466mox,,1
00013,20021206_14:47:22,ENG35,4,4,6676,m.a,718442umr,,3,2618,m.a,614267erp,,2
00014,20021206_15:01:36,ENG35,4,2,7038,f.a,812568uni,,1,2004,f.a,301405fmn,,3
00015,20021206_15:48:02,ENG35,4,2,2572,f.a,819697pfc,,3,9448,f.a,614267erp,,3
00016,20021206_16:52:44,ENG35,4,3,1172,f.a,215417rlj,,2,5322,f.a,414302kck,,2
00017,20021206_17:14:39,ENG35,4,4,3855,f.o,401225hrj,,1,3425,m.a,412901srs,,1
00018,20021206_18:55:18,ENG35,4,4,7203,f.a,413587whc,,3,4554,f.a,586677wcr,,3
00019,20021206_19:20:31,ENG35,4,4,5701,m.a,585682ykv,,2,9410,f.a,617513dbb,,3
00020,20021206_19:54:48,ENG35,3,1,1119,m.o,650859vil,,3,9057,f.a,617610kgj,,1
00021,20021206_19:59:04,ENG35,4,4,2224,f.a,773288qmy,,1,1066,m.a,215605bbq,,1
00022,20021206_20:02:24,ENG35,4,4,1222,m.a,215483niy,,3,2084,m.a,614688gek,,3
00023,20021206_20:02:47,ENG35,3,3,8948,f.a,520546xdg,,2,5195,f.a,217328hgl,,2
00024,20021206_20:03:47,ENG35,4,4,6744,f.a,801765fbd,,3,4779,f.a,414447bmk,,3
00025,20021206_20:11:23,ENG35,4,0.5,3833,f.a,781648fjy,,1,4464,m.a,614793rcq,,2
