PIN,S_SEX,S_AGE,EDU,NATIVE_LANG,WHERE_RAISED,NSIDES,SIDE_DATA
1006,F,19,13,English,PA,1,00409_A/f.a
1007,F,32,16,English,WA,3,01153_B/f.a;01567_A/f.a;02235_A/f.a
1008,M,58,16,English,NA,3,00420_B/m.a;01356_A/m.a;01745_A/m.a
1009,F,56,16,English,NA,3,01126_B/f.a;06411_A/f.a;06855_B/f.a
1010,M,18,12,English,NY,1,00592_B/m.a
1013,F,38,24,English,FL,2,00105_A/f.a;00251_A/f.a
1014,F,52,12,English,IL,1,00748_A/f.a
1019,F,29,18,English,KY,3,00008_B/f.a;00043_B/f.a;00157_A/f.a
1021,F,26,18,English,AL,2,00294_B/f.a;01659_B/f.a
1024,F,58,13,English,TN,4,01153_A/f.a;01394_B/f.a;01695_B/f.a;03240_A/f.a
1031,M,52,18,English,NJ,2,00927_A/m.a;02851_B/m.a
1036,F,20,12,English,PA,1,00861_A/f.a
1040,F,20,15,English,Canada,1,00949_A/f.a
1051,F,36,16,English,NJ,1,00780_B/f.a
1053,F,49,15,English,GA,3,00941_A/f.a;07195_A/f.a;07438_B/f.a
1055,F,45,17,English,NY,2,00873_A/f.a;02918_A/f.a
1056,F,34,12,English,VT,3,02886_A/m.a;03457_A/f.a;05947_B/f.a
1059,F,53,17,English,WI,1,06082_B/f.a
1063,M,57,14,English,MD,2,01706_B/m.a;04216_B/m.a
1065,F,21,15,Korean,PA,1,00692_A/f.a
1066,M,38,16,English,PA,2,00021_B/m.a;00117_B/m.a
1075,M,44,18,English,IL,1,01002_A/m.a
1078,F,22,14,English,MI,1,00313_B/f.a
1089,F,48,14,English,IL,2,00516_B/f.a;06186_B/f.a
1094,F,40,14,English,CA,1,01270_A/f.a
1100,F,28,18,English,OH,2,00044_A/f.a;00207_B/f.a
1104,F,44,18,English,NC,2,01031_B/f.a;06252_B/f.a
1106,F,27,18,English,RI,2,00190_A/f.a;00233_A/f.a
1115,F,20,14,English,VA,1,04285_B/f.a
1116,M,31,18,English,NA,3,00395_A/m.a;02066_A/m.a;03421_B/m.a
1119,M,29,20,Spanish,Argentina,2,00020_A/m.o;00179_A/m.o
1122,F,21,15,English,Saudi Arabia,2,00897_A/f.a;01341_A/f.a
1123,F,20,12,English,NY,1,00580_A/f.a
1124,F,76,11,English,TN,1,01207_B/f.a
1125,F,25,16,English,WA,2,01956_B/f.a;02237_B/f.a
1126,M,24,16,English,CT,1,00939_A/m.a
1128,F,56,12,English,PA,1,00497_B/f.a
1130,F,59,12,English,PA,3,00479_B/f.a;01511_B/f.a;01562_A/f.a
1132,M,36,14,English,MN,1,00459_A/m.a
1135,M,27,18,English,MI,1,00505_A/m.a
1138,F,49,13,English,WA,3,01259_A/f.a;02903_A/f.a;05972_A/f.a
1141,F,36,12,English,OH,1,06532_B/f.a
1144,F,37,19,English,AR,1,00474_B/f.a
1146,M,43,15,English,NY,1,01166_B/m.a
1156,F,39,19,English,Canada,1,01223_A/f.a
1160,F,24,17,English,NY,1,05958_A/f.a
1161,F,47,16,English,TX,1,00960_B/f.a
1162,F,26,12,English,NC,2,01282_B/f.a;01734_B/f.a
1163,F,23,15,English,PA,1,00677_A/m.a
1165,F,28,21,English,MN,3,00401_B/f.a;01660_A/f.a;06178_A/f.a
1167,F,25,14,English,NY,1,10056_B/f.a
1169,F,56,12,English,VA,3,01306_A/f.a;01543_B/f.a;03912_B/f.a
1170,F,27,16,English,IL,1,00661_A/f.a
1172,F,19,13,English,NJ,4,00006_A/f.a;00016_A/f.a;00095_B/f.a;00284_B/f.a
1177,M,22,16,English,FL,1,00422_A/m.a
1180,F,39,21,English,NA,3,00042_B/f.a;00094_A/f.a;00154_B/f.a
1181,F,40,12,English,VT,1,00500_A/f.a
1189,F,52,12,English,MO,1,00623_B/f.a
1191,F,37,12,French,CA,1,01200_B/f.a
1195,M,56,18,English,NY,1,00305_A/m.a
1198,F,27,16,English,GA,2,01511_A/f.a;03219_A/f.a
1199,F,36,16,English and Serbian,NY,1,00717_B/f.a
1200,F,41,12,English,VA,1,00711_B/f.a
1201,M,62,12,English,CA,2,00109_A/m.a;00251_B/m.a
1203,F,35,4,English,NM,2,01275_A/f.a;02850_B/f.a
1204,F,31,16,English,NJ,2,01453_A/f.a;01653_A/f.a
1206,F,38,14,English,MI,1,00728_A/f.a
1209,M,18,12,English,CT,1,00070_B/m.a
1210,F,39,16,English,MO,1,07439_A/f.a
1214,F,36,15,English,CO,1,00918_B/f.a
1215,F,47,12,English,PA,1,01114_B/f.a
1218,F,22,15,English,PA,1,00730_B/f.a
1222,M,43,14,English,NA,4,00022_A/m.a;00050_A/m.a;00073_A/m.a;00117_A/m.a
1230,M,31,18,English,AZ,1,00870_B/m.a
1231,M,31,14,English,WA,1,00591_A/m.a
1235,F,44,13,English,VA,3,00553_A/f.a;01441_B/f.a;01481_A/f.a
1238,F,18,12,English,NC,2,01668_A/f.a;01672_A/f.a
1242,M,19,14,English,WI,1,03692_A/m.a
1243,F,43,18,English,MA,1,08040_A/f.a
1244,M,30,16,English,WY,1,00221_B/m.a
1254,M,31,14,English,IA,1,00684_A/m.a
1255,F,34,15,English,MI,1,01177_A/f.a
1263,F,43,12,English,TN,3,01017_B/f.a;01460_A/f.a;02812_A/f.a
1269,F,23,16,Chinese,China,1,00615_B/f.a
1270,F,19,14,English,NA,2,00185_A/f.a;00264_A/f.a
1274,F,19,13,English,CA,2,00209_A/f.a;00269_B/f.a
1276,F,32,12,English,IN,3,00898_A/f.a;06473_A/f.a;07344_B/f.a
1280,F,39,16,English,OH,1,00893_A/f.a
1281,F,42,12,English,NY,1,02756_B/f.a
1285,M,30,23,Chinese,PROVINCE,1,01269_A/m.o
1289,M,22,15,English,NA,1,00835_B/m.a
1293,F,43,12,English,FL,1,00766_A/f.a
1297,F,34,13,English,CA,3,01192_B/f.a;02896_B/f.a;04674_A/m.a
1299,F,57,12,English,IL,3,00671_A/f.a;03911_A/f.a;04657_B/f.a
1300,F,42,16,English,AL,1,00601_A/f.a
1302,F,60,13,English,TX,3,01166_A/f.a;01694_B/f.a;01776_B/f.a
1303,M,21,12,English,TN,4,00887_A/f.a;01424_B/f.a;01448_B/f.a;02793_A/f.a
1304,M,52,16,English,NA,1,00957_B/m.a
1311,M,20,15,Vietnamese,CA,3,01206_A/m.a;01734_A/m.a;03016_A/m.a
1314,M,51,16,English,NJ,2,05318_A/m.a;07528_B/m.a
1318,F,52,16,English,MD,1,00482_B/m.a
1320,F,38,21,English,TX,2,01032_B/f.a;03239_B/f.a
1330,F,38,16,English,NV,1,00734_B/f.a
1332,F,23,16,English,AZ,2,00555_B/f.a;06469_A/f.a
1334,F,32,16,English,VA,3,01442_A/f.a;02808_A/f.a;08216_A/f.a
1336,M,33,20,English,Canada,2,00332_B/m.a;03342_A/m.a
1338,M,60,20,English,MA,1,00554_B/m.a
1343,F,35,16,English,WV,2,00666_A/f.a;06959_B/f.a
1344,F,34,12,English,NJ,1,00811_B/f.a
1352,F,33,16,English,OK,3,01090_A/f.a;06019_A/f.a;07660_A/f.a
1364,F,47,16,English,FL,1,01279_A/f.a
1365,M,57,14,English,NJ,1,00701_B/m.a
1366,F,57,14,English,PA,2,01441_A/f.a;01746_A/f.a
1371,F,42,16,English,NY,2,01408_B/f.a;01430_A/f.a
1372,F,22,16,English,MI,3,00653_B/f.a;02059_B/f.a;05948_A/f.a
1375,M,34,15,English,FL,1,00374_B/m.a
1377,F,55,19,English,WA,1,00376_A/f.a
1378,F,32,12,English,MI,2,01556_A/f.a;06050_A/f.a
1382,F,68,12,English,CA,1,01276_B/m.a
1391,F,19,14,English,MD,1,00295_A/f.a
1393,F,23,15,English,KY,1,00746_B/f.a
1399,F,26,12,English,CO,3,01324_B/f.a;01425_A/f.a;01731_A/f.o
1400,F,45,13,English,OH,1,01213_A/f.a
1401,F,50,15,English,MI,2,00971_B/f.a;01381_B/f.a
1409,M,65,16,English,NY,3,00472_B/m.a;04889_B/m.a;05027_A/m.a
1411,F,18,11,English,NJ,1,00367_B/f.a
1414,F,26,20,English,MI,3,00080_B/f.a;00150_A/f.a;04197_B/f.a
1420,M,43,16,English,PA,1,00912_A/m.a
1421,M,19,14,English,TX,3,01203_B/m.a;02020_B/m.a;03212_A/m.a
1424,F,46,14,English,PA,2,01306_B/f.a;06547_A/f.a
1425,F,40,16,English,IN,1,01314_A/f.a
1426,F,29,16,English,PA,1,01336_A/f.a
1430,F,44,15,English,GA,3,01280_A/f.a;01350_A/f.a;01457_A/f.a
1432,F,38,13,English,NC,1,08845_A/f.a
1433,F,52,16,English,NY,2,00995_B/f.a;01397_A/f.a
1436,F,25,16,English,PA,1,00327_A/f.a
1441,M,35,16,English,PA,1,00195_B/m.a
1445,F,54,16,English,TX,1,00988_B/f.a
1450,F,45,16,English,VA,2,06302_B/f.a;06982_B/f.a
1453,F,30,16,English,CA,1,01056_B/f.a
